date,home,away,home_score,away_score,division
2026-08-29,Southern California,San Jose St.,42,26,FBS
2026-08-29,TCU,North Carolina,10,15,FBS
2026-08-29,Virginia,NC State,34,8,FBS
2026-08-29,North Dakota St.,Jacksonville St.,33,7,FBS
2026-08-29,Eastern Mich.,Sacramento St.,28,17,FBS
2026-08-29,Stanford,Hawaii,37,27,FBS
2026-08-29,Florida St.,New Mexico St.,34,17,FBS
2026-08-29,UNLV,Memphis,21,27,FBS
2026-09-03,Utah,Idaho,66,14,FBS
2026-09-03,Missouri,Ark.-Pine Bluff,54,14,FBS
2026-09-03,Rutgers,Massachusetts,21,37,FBS
2026-09-03,Kennesaw St.,West Ga.,47,0,FBS
2026-09-03,Wake Forest,Akron,38,16,FBS
2026-09-03,Buffalo,UAlbany,21,17,FBS
2026-09-03,Delaware,Merrimack,42,7,FBS
2026-09-03,UCF,Bethune-Cookman,73,6,FBS
2026-09-03,Georgia Tech,Colorado,13,14,FBS
2026-09-03,Minnesota,Eastern Ill.,59,7,FBS
2026-09-03,Illinois,UAB,42,23,FBS
2026-09-04,Stanford,Miami (FL),6,45,FBS
2026-09-04,Oklahoma,UTEP,51,0,FBS
2026-09-04,Southern California,Fresno St.,39,0,FBS
2026-09-04,Eastern Mich.,San Jose St.,21,27,FBS
2026-09-04,Purdue,Indiana St.,44,19,FBS
2026-09-04,Georgia St.,N.C. A&T,59,10,FBS
2026-09-04,Kansas,LIU,51,6,FBS
2026-09-04,Michigan St.,Toledo,30,20,FBS
2026-09-05,Ohio St.,Ball St.,56,3,FBS
2026-09-05,Oregon,Boise St.,34,27,FBS
2026-09-05,Georgia,Tennessee St.,63,3,FBS
2026-09-05,Texas,Texas St.,59,7,FBS
2026-09-05,Indiana,North Texas,52,16,FBS
2026-09-05,Texas A&M,Missouri St.,50,0,FBS
2026-09-05,LSU,Clemson,51,10,FBS
2026-09-05,Texas Tech,Abilene Christian,33,10,FBS
2026-09-05,Alabama,East Carolina,48,10,FBS
2026-09-05,BYU,Utah Tech,63,7,FBS
2026-09-05,Michigan,Western Mich.,13,12,FBS
2026-09-05,Penn St.,Marshall,45,0,FBS
2026-09-05,Tennessee,Furman,56,9,FBS
2026-09-05,Iowa,NIU,40,0,FBS
2026-09-05,Houston,Oregon St.,33,20,FBS
2026-09-05,West Virginia,Coastal Carolina,31,24,FBS
2026-09-05,UConn,Lafayette,56,7,FBS
2026-09-05,Syracuse,New Hampshire,66,3,FBS
2026-09-05,Nebraska,Ohio,49,21,FBS
2026-09-05,James Madison,Liberty,20,13,FBS
2026-09-05,Army West Point,Bryant,59,3,FBS
2026-09-05,Bowling Green,Tarleton St.,13,20,FBS
2026-09-05,Pittsburgh,Miami (OH),59,14,FBS
2026-09-05,South Carolina,Kent St.,57,0,FBS
2026-09-05,Kentucky,Youngstown St.,45,13,FBS
2026-09-05,Iowa St.,Southeast Mo. St.,38,10,FBS
2026-09-05,Air Force,Duquesne,34,0,FBS
2026-09-05,Temple,Rhode Island,38,14,FBS
2026-09-05,Charlotte,The Citadel,41,43,FBS
2026-09-05,UTSA,UTRGV,45,16,FBS
2026-09-05,Duke,Tulane,17,3,FBS
2026-09-05,Navy,Towson,42,15,FBS
2026-09-05,App State,Maine,55,3,FBS
2026-09-05,Cincinnati,Boston College,34,15,FBS
2026-09-05,North Dakota St.,Fordham,38,0,FBS
2026-09-05,Auburn,Baylor,17,16,FBS
2026-09-05,Tulsa,Oklahoma St.,24,10,FBS
2026-09-05,Arkansas,North Ala.,31,14,FBS
2026-09-05,Southern Miss.,Alcorn,49,3,FBS
2026-09-05,Colorado St.,Wyoming,35,13,FBS
