date,home,away,home_score,away_score
2025-08-23,Kansas St.,Iowa St.,21,24
2025-08-23,UNLV,Idaho St.,38,31
2025-08-23,Kansas,Fresno St.,31,7
2025-08-23,Western Ky.,Sam Houston,41,24
2025-08-23,Hawaii,Stanford,23,20
2025-08-28,South Fla.,Boise St.,34,7
2025-08-28,Rutgers,Ohio,34,31
2025-08-28,Bowling Green,Lafayette,26,7
2025-08-28,UCF,Jacksonville St.,17,10
2025-08-28,Delaware,Delaware St.,35,17
2025-08-28,ULM,Saint Francis,29,0
2025-08-28,NC State,East Carolina,24,17
2025-08-28,Akron,Wyoming,0,10
2025-08-28,Duke,Elon,45,17
2025-08-28,Missouri,Central Ark.,61,6
2025-08-28,Oklahoma St.,UT Martin,27,7
2025-08-28,Houston,SFA,27,0
2025-08-28,Minnesota,Buffalo,23,10
2025-08-28,UAB,Alabama St.,52,42
2025-08-28,Wisconsin,Miami (OH),17,0
2025-08-28,Cincinnati,Nebraska,17,20
2025-08-28,San Diego St.,Stony Brook,42,0
2025-08-29,Illinois,Western Ill.,52,3
2025-08-29,Wake Forest,Kennesaw St.,10,9
2025-08-29,Charlotte,App State,11,34
2025-08-29,Michigan St.,Western Mich.,23,6
2025-08-29,FIU,Bethune-Cookman,42,9
2025-08-29,Kansas,Wagner,46,7
2025-08-29,Baylor,Auburn,24,38
2025-08-29,Colorado,Georgia Tech,20,27
2025-08-29,Sam Houston,UNLV,21,38
2025-08-29,San Jose St.,Central Mich.,14,16
2025-08-30,Ohio St.,Texas,14,7
2025-08-30,Penn St.,Nevada,46,11
2025-08-30,Clemson,LSU,10,17
2025-08-30,Georgia,Marshall,45,7
2025-08-30,Oregon,Montana St.,59,13
2025-08-30,Florida St.,Alabama,31,17
2025-08-30,Arizona St.,Northern Ariz.,38,19
2025-08-30,Michigan,New Mexico,34,17
2025-08-30,Florida,LIU,55,0
2025-08-30,SMU,East Texas A&M,42,13
2025-08-30,Kansas St.,North Dakota,38,35
2025-08-30,Oklahoma,Illinois St.,35,3
2025-08-30,Texas A&M,UTSA,42,24
2025-08-30,Indiana,Old Dominion,27,14
2025-08-30,Ole Miss,Georgia St.,63,7
2025-08-30,Iowa St.,South Dakota,55,7
2025-08-30,Texas Tech,Ark.-Pine Bluff,67,7
2025-08-30,Tennessee,Syracuse,45,26
2025-08-30,Kent St.,Merrimack,21,17
2025-08-30,The Citadel,North Dakota St.,0,38
2025-08-30,Navy,VMI,52,7
2025-08-30,Pittsburgh,Duquesne,61,9
2025-08-30,Tulane,Northwestern,23,3
2025-08-30,Southern Miss.,Mississippi St.,17,34
2025-08-30,Purdue,Ball St.,31,0
2025-08-30,Maryland,Fla. Atlantic,39,7
2025-08-30,Kentucky,Toledo,24,16
2025-08-30,Boston College,Fordham,66,10
2025-08-30,UConn,Central Conn. St.,59,13
2025-08-30,West Virginia,Robert Morris,45,3
2025-08-30,Louisville,Eastern Ky.,51,17
2025-08-30,Air Force,Bucknell,49,13
2025-08-30,NIU,Holy Cross,19,17
2025-08-30,Massachusetts,Temple,10,42
2025-08-30,Liberty,Maine,28,7
2025-08-30,Arkansas,Alabama A&M,52,7
2025-08-30,Memphis,Chattanooga,45,10
2025-08-30,Iowa,UAlbany,34,7
2025-08-30,Virginia,Coastal Carolina,48,7
2025-08-30,James Madison,Weber St.,45,10
2025-08-30,Troy,Nicholls,38,20
2025-08-30,South Alabama,Morgan St.,38,21
2025-08-30,Arkansas St.,Southeast Mo. St.,42,24
2025-08-30,South Dakota St.,Sacramento St.,20,3
2025-08-30,Middle Tenn.,Austin Peay,14,34
2025-08-30,Western Ky.,North Ala.,55,6
2025-08-30,Vanderbilt,Charleston So.,45,3
2025-08-30,Louisiana Tech,Southeastern La.,24,0
2025-08-30,Southern California,Missouri St.,73,13
2025-08-30,Utah St.,UTEP,28,16
2025-08-30,Tulsa,Abilene Christian,35,7
2025-08-30,Louisiana,Rice,12,14
2025-08-30,Texas St.,Eastern Mich.,52,27
2025-08-30,North Texas,Lamar University,51,0
2025-08-30,New Mexico St.,Bryant,19,3
2025-08-30,BYU,Portland St.,69,0
2025-08-30,Fresno St.,Ga. Southern,42,14
2025-08-30,Washington St.,Idaho,13,10
2025-08-30,Oregon St.,California,15,34
2025-08-30,Arizona,Hawaii,40,6
2025-08-30,Washington,Colorado St.,38,21
2025-08-30,UCLA,Utah,10,43
2025-08-31,Miami (FL),Notre Dame,27,24
2025-08-31,South Carolina,Virginia Tech,24,11
2025-09-01,North Carolina,TCU,14,48
2025-09-05,Louisville,James Madison,28,14
2025-09-05,Northwestern,Western Ill.,42,7
2025-09-05,Maryland,NIU,20,9
2025-09-05,Boise St.,Eastern Wash.,51,14
2025-09-06,Ohio St.,Grambling,70,0
2025-09-06,Penn St.,FIU,34,0
